cD disk - LS-1971,,cD hexagonal - LS-1971,,cD branched - LS-1971,,cD stellarplate - LS-1971,,cD dendrite - LS-1971,,cD stellar - LS-1971,,Be disk - LS-1971,,Be hexagonal - LS-1971,,Be branched - LS-1971,,Be stellarplate - LS-1971,,Be dendrite - LS-1971,,Be stellar - LS-1971,
1.035891182,23.1543516,0.840634733,30.8245299,0.873785607,33.42385135,0.508439277,81.13203978,0.575428376,107.5735917,0.549331124,144.2378062,0.860371199,1.811450562,0.988910682,2.237823129,0.894300391,2.508701913,0.651243581,2.664438905,0.496775945,2.965744604,0.516366567,4.316679278
1.0851036,22.14249103,0.880571039,29.63216007,0.929567599,31.38096531,0.532593866,77.38374625,0.602765438,103.9550315,0.570994287,139.9387468,0.887409164,1.868991547,1.01998812,2.351592651,0.929567599,2.612121501,0.68218242,2.785098412,0.516366567,3.09609701,0.54089776,4.512160733
1.136653968,21.28596416,0.915296822,28.33814677,0.973728867,30.00959624,0.557895976,73.80862356,0.63140121,100.1956486,0.593511747,133.3034434,0.929567599,1.989745821,1.052042195,2.458246529,0.966225587,2.702069048,0.714591081,2.926498599,0.54089776,3.244784337,0.566594365,4.728853272
1.190653356,20.40909174,0.958780125,27.17076064,1.01998812,28.84875009,0.58440012,70.39867125,0.661397392,95.81703212,0.621707902,130.5159839,0.966225587,2.060956943,1.106292537,2.566166462,1.004329203,2.804271986,0.748539391,3.067041113,0.566594365,3.400612243,0.593511747,4.955952279
1.24721811,19.61961708,1.004329203,25.91547374,1.060211889,27.80639124,0.612163406,67.8528055,0.692818612,92.59393897,0.651243581,124.8123486,1.004329203,2.162831695,1.154376016,2.685931875,1.035891182,2.929539442,0.784100495,3.214333057,0.588938313,3.522316941,0.621707902,5.113042541
1.306470105,18.81138961,1.052042195,24.718181,1.102021904,26.59210783,0.641245651,65.05761834,0.72573257,88.31610664,0.68218242,119.6707207,1.035891182,2.25501569,1.19434321,2.807712409,1.0851036,3.094426132,0.821351011,3.359894601,0.612163406,3.63884244,0.651243581,5.400825887
1.368537003,18.03645696,1.102021904,23.88671087,1.154376016,25.49664955,0.671709516,62.05196175,0.760210182,84.456634,0.714591081,115.0415583,1.076742097,2.32657008,1.252051417,2.954113771,1.127895232,3.221991818,0.860371199,3.530477344,0.636304393,3.778949311,0.68218242,5.630649034
1.433552533,17.29344755,1.154376016,22.84284571,1.209217331,24.38242899,0.703620637,59.18516624,0.796325734,81.40238243,0.748539391,110.0141656,1.119203989,2.438381734,1.306470105,3.149146541,1.172374376,3.354816314,0.901245132,3.700025404,0.661397392,3.924450738,0.714591081,5.932021696
1.501656778,16.66805512,1.209217331,21.90183777,1.26666401,23.37799812,0.737047771,56.74704132,0.834157038,77.84504414,0.784100495,105.4821469,1.172374376,2.582372955,1.368537003,3.291756104,1.228070745,3.497574933,0.936786209,3.847518973,0.687479947,4.070225289,0.748539391,6.200654169
1.572996472,15.98141684,1.26666401,21.1097896,1.326839827,22.35636405,0.766113638,54.48238415,0.873785607,75.02989112,0.821351011,101.6675382,1.228070745,2.706389138,1.411544551,3.468170849,1.286413099,3.679959606,0.973728867,4.021886682,0.714591081,4.265834536,0.784100495,6.515463031
1.647725325,15.36321572,1.326839827,20.24017467,1.389874437,21.43539665,0.796325734,52.44516821,0.915296822,71.93904489,0.860371199,97.22459913,1.281447146,2.840121426,1.467209555,3.649142205,1.337143478,3.84170367,1.01998812,4.226078938,0.742771358,4.401194654,0.818813494,6.76442494
1.726004346,14.80762732,1.389874437,19.45723415,1.455903651,20.76863084,0.827729259,50.55022701,0.958780125,69.15626292,0.894300391,94.3267852,1.368537003,3.035262227,1.51331798,3.750307622,1.389874437,4.026330493,1.068445026,4.429032651,0.772062938,4.612709819,0.860371199,7.212691093
1.808002193,14.2348313,1.455903651,18.70457972,1.525069738,19.80912181,0.860371199,48.469411,1.004329203,65.78886207,0.929567599,90.5623981,1.411544551,3.181237224,1.572996472,4.003205963,1.455903651,4.230748363,1.119203989,4.641733038,0.808741582,4.796427873,0.901245132,7.539318868
1.893895538,13.72004929,1.525069738,17.93404709,1.597521719,19.19294264,0.901245132,46.5944931,1.052042195,63.40970338,0.973728867,87.28734043,1.467209555,3.347236202,1.635028418,4.151905894,1.525069738,4.457193287,1.172374376,4.902989121,0.840634733,5.046708524,0.944060876,7.922092092
1.983869447,13.12047401,1.62242935,16.92626395,1.673415701,18.30623027,0.944060876,44.55828274,1.102021904,60.48018032,1.01998812,83.69155024,1.501656778,3.440144977,1.699506626,4.328725668,1.597521719,4.708062704,1.228070745,5.09826861,0.873785607,5.254755768,0.981290415,8.270289222
2.078117775,12.64599111,1.699506626,16.35689831,1.752915202,17.69044533,0.981290415,43.17367999,1.154376016,58.44574812,1.068445026,80.87633402,1.609927366,3.720001837,1.766527566,4.542698044,1.673415701,4.934163262,1.26666401,5.329494933,0.908243803,5.457080382,1.01998812,8.611226464
2.176843589,12.1886672,1.780245637,15.68307809,1.836191512,16.9173611,1.01998812,41.39650727,1.209217331,55.89163003,1.119203989,76.93825201,1.673415701,3.898779842,1.836191512,4.767247246,1.739407732,5.151032931,1.326839827,5.600074808,0.944060876,5.696933656,1.060211889,8.942785749
2.280259602,11.77866483,1.864820343,15.15553074,1.923424057,16.26295531,1.060211889,40.05770596,1.26666401,53.72960215,1.172374376,74.1558918,1.739407732,4.05419633,1.908602693,4.989821217,1.794070237,5.356543932,1.389874437,5.915270361,0.981290415,5.947329123,1.102021904,9.409425986
2.388588633,11.29344433,1.953412967,14.60745297,2.014800786,15.67482913,1.102021904,38.55986041,1.326839827,51.65120691,1.228070745,71.10104986,1.794070237,4.299508924,1.968582308,5.188900347,1.864820343,5.59197836,1.455903651,6.166984836,1.01998812,6.20873014,1.154376016,9.835533223
2.541074816,10.71475424,2.046214389,14.0424002,2.11051858,15.02910667,1.154376016,36.87476885,1.389874437,49.52344242,1.286413099,68.35068363,1.864820343,4.500245056,2.030446838,5.395922147,1.938360517,5.860720899,1.51331798,6.471823835,1.060211889,6.456227837,1.209217331,10.36196646
2.66179448,10.38146291,2.143424559,13.53457718,2.217634924,14.65316338,1.209217331,35.26331691,1.455903651,47.73249902,1.347527143,65.36371326,1.938360517,4.685764703,2.078117775,5.545696015,2.014800786,6.142378823,1.572996472,6.756277796,1.102021904,6.766504979,1.256903454,10.78913173
2.788249212,9.979881991,2.280259602,13.04426096,2.315812085,13.99833423,1.26666401,33.81064933,1.525069738,45.76616517,1.411544551,62.99992945,2.030446838,4.949499071,2.143424559,5.858216153,2.094255518,6.387231568,1.647725325,7.136549272,1.145480719,7.063910965,1.306470105,11.35211547
2.932030015,9.650331561,2.388588633,12.5069044,2.425830119,13.45684369,1.326839827,32.4178242,1.597521719,43.99581557,1.478603255,60.5629348,2.11051858,5.180582043,2.227951637,6.044104476,2.160069445,6.668186735,1.726004346,7.479275756,1.190653356,7.33589374,1.357991442,11.80464318
3.059466655,9.295411015,2.482783886,12.00777968,2.541074816,12.93629935,1.389874437,31.24548065,1.673415701,42.18341389,1.548847739,58.37276417,2.193747993,5.436662362,2.297967089,6.309966511,2.245252923,6.943078354,1.794070237,7.808009923,1.24721811,7.728537254,1.411544551,12.33962393
3.315771866,8.892562293,2.580693778,11.61943699,2.66179448,12.46847687,1.455903651,29.88003235,1.752915202,40.65791196,1.62242935,55.96810604,2.262688564,5.67580484,2.370182842,6.56171554,2.351918881,7.295580289,1.864820343,8.151192836,1.306470105,8.163531544,1.467209555,12.76453483
3.462564768,8.455244814,2.703295633,11.25800476,2.788249212,12.0175725,1.525069738,28.72419805,1.836191512,38.98301477,1.699506626,54.08545099,2.351918881,5.933029584,2.444668042,6.823508611,2.463652253,7.686066081,1.938360517,8.576527253,1.357991442,8.522340583,1.51331798,13.32600845
3.627061954,8.149473159,2.831721973,10.90781517,2.92071147,11.61332542,1.597521719,27.54090859,1.923424057,37.67170419,1.780245637,51.99329063,2.425830119,6.185906573,2.541074816,7.104803273,2.550922167,8.108453986,2.014800786,8.953488557,1.411544551,8.920232927,1.572996472,13.91172215
3.79937396,7.875341196,2.966249506,10.51334987,3.059466655,11.16409298,1.673415701,26.47555744,2.014800786,35.93127457,1.864820343,50.11302875,2.541074816,6.48297928,2.641283441,7.378360531,2.66179448,8.486883194,2.094255518,9.347018319,1.467209555,9.287963672,1.679816257,15.06416021
3.979872049,7.590540913,3.155613241,10.13248345,3.217233246,10.85208706,1.752915202,25.45141674,2.11051858,34.63187218,1.953412967,48.0486293,2.620930455,6.794765482,2.745443847,7.702659204,2.745443847,8.871796377,2.176843589,9.783413344,1.525069738,9.696194509,1.62242935,14.46675878
4.168945119,7.335210312,3.331197248,9.740213395,3.357065852,10.45296827,1.836191512,24.33917289,2.210783669,33.29222485,2.046214389,46.18998828,2.745443847,7.214865477,2.875872537,8.051475257,2.831721973,9.225754851,2.262688564,10.18672813,1.585211667,10.08271249,1.953412967,17.9151862
4.367000545,7.107042506,3.462564768,9.363745504,3.516551066,10.07495185,1.923424057,23.52045184,2.315812085,32.17234105,2.143424559,44.5195944,2.853711873,7.551714224,2.966249506,8.285520882,2.975441962,9.683879435,2.315812085,10.46947975,1.647725325,10.56727333,2.046214389,18.72647804
4.574465053,6.85002663,3.627061954,9.108160834,3.655228112,10.00760906,2.014800786,22.49259244,2.425830119,31.0901279,2.245252923,42.79746527,2.966249506,7.966587839,3.059466655,8.867713166,3.095173449,10.03436138,2.471287151,11.14502614,1.712704242,11.03173325,2.143424559,19.88428008
4.791785646,6.636950865,3.79937396,8.859552381,3.79937396,9.5081762,2.11051858,21.67918048,2.541074816,29.80937428,2.351918881,41.24975707,3.097568666,8.39309877,3.131296974,9.3310497,3.409407272,11.39503068,2.580693778,11.61943699,1.780245637,11.51660742,2.240746208,20.79905267
5.019430558,6.396935171,3.949204276,8.584250914,3.979872049,9.212416486,2.210783669,20.69113628,2.66179448,28.73136153,2.463652253,39.75801948,3.254781322,8.773066088,3.254781322,9.639740042,3.585219144,12.17876833,2.66179448,12.46847687,1.864820343,12.00667746,2.397845059,22.19830611
5.25789027,6.181755078,4.168945119,8.295221128,4.367000545,8.58058219,2.315812085,20.19231222,2.788249212,27.40397501,2.580693778,38.32022842,3.357065852,9.075462156,3.516551066,10.76315387,3.712218304,12.7142668,2.840497526,13.32172583,1.923424057,12.55122701,2.502064087,23.21912662
5.507678565,6.005160712,4.367000545,7.995236497,4.574465053,8.313676057,2.425830119,19.46208656,2.92071147,26.48216014,2.703295633,36.93443298,3.489453514,9.32675512,3.363817772,10.18981124,3.858611591,13.7503848,2.966249506,14.02025385,2.014800786,12.94906691,2.590694663,24.33540497
5.769333634,5.803159127,4.645787454,7.625355736,4.791785646,8.034020637,2.541074816,18.75826845,3.059466655,25.39123114,2.831721973,35.41292401,3.627061954,9.942677839,3.627061954,11.17062623,3.79937396,13.11856866,3.059466655,14.59870964,2.238316344,14.76807022,2.692860073,25.25586624
6.043419235,5.622647045,4.866496383,7.330387926,5.019430558,7.784115756,2.66179448,18.17477693,3.204813728,24.53712095,2.966249506,34.22170413,3.712218304,10.36679453,3.770097055,11.7535166,4.10494323,14.52335862,3.211259431,15.40009086,2.351918881,15.7467234,2.788249212,26.88895681
6.330525909,5.447749941,5.097690602,7.102370124,5.25789027,7.541984373,2.788249212,17.51751251,3.370075388,23.88260397,3.107168082,32.89792312,3.828878217,10.82279874,3.918772821,12.41546174,4.299958097,15.14137595,3.462564768,16.96034201,2.454141791,16.56812503,3.024171785,28.90425777
6.631272253,5.292123921,5.33986824,6.863460611,5.507678565,7.307384688,2.92071147,16.8840171,3.516551066,22.73493934,3.204813728,31.50352459,3.979872049,11.41737813,4.041923901,13.21848557,4.435088279,15.95284614,3.585219144,17.68293327,2.67734946,18.47260886,3.155613241,30.41200028
6.946306251,5.127508013,5.593551089,6.649966971,5.769333634,7.117235054,3.059466655,16.31607256,3.683612996,21.97018149,3.357065852,31.04722031,4.168945119,12.02847742,4.333349669,14.12647711,4.609988325,16.58877211,3.726604152,18.46014547,2.788249212,19.39973739,3.254781322,31.70821749
7.276306671,4.955028907,5.859285731,6.443114228,6.043419235,6.859850579,3.204813728,15.76723254,3.858611591,21.06512284,3.516551066,29.84623627,4.266823831,12.65696336,4.504237598,14.74737355,4.754861495,17.66172287,3.878562006,19.42330113,2.92071147,20.17240295,3.475983141,34.33314808
